name,code
kenya,KEN
baringo,BAR
bomet,BOM
bungoma,BMA
busia,BSA
elgeyo-marakwet,ELM
embu,MBU
garissa,GSA
homa bay,HBA
isiolo,ISO
kajiado,KJD
kakamega,KKM
kericho,KCH
kiambu,KIA
kilifi,KIF
kirinyaga,KGA
kisii,KIS
kisumu,KSU
kitui,KTU
kwale,KLE
laikipia,LKP
lamu,LMU
machakos,MCH
makueni,MKU
mandera,MDR
marsabit,MRS
meru,MRU
migori,MIG
mombasa,MSA
murang'a,MGA
nairobi,NBO
nakuru,NKU
nandi,NDI
narok,ROK
nyamira,NYA
nyandarua,NDR
nyeri,YRI
samburu,SMB
siaya,SIA
taita taveta,TTA
tana river,TRI
tharaka-nithi,TNI
trans nzoia,TZI
turkana,TRK
uasin gishu,UAG
vihiga,VGA
wajir,WJR
west pokot,WPO
